SampleID,PlayerStd,SeasonEndYear,TeamAtSeasonStart,InitMarketValue,FinalMarketValue,AgeAtSeasonStart,InjuryDays,GamesMissed,InjuryCount,TeamStartElo,SeqLen,MinutesTotal,League,Split
Aaron Seydel_2024,Aaron Seydel,2024,Darmstadt 98,500000.0,500000.0,27.0,65,8,2,1537.49,14,510,Bundesliga,val
Aaron Wan Bissaka_2021,Aaron Wan Bissaka,2021,Manchester Utd,40000000.0,40000000.0,22.0,0,0,0,1860.73,32,2880,Premier League,train
Aaron Wan Bissaka_2022,Aaron Wan Bissaka,2022,Manchester Utd,38000000.0,25000000.0,24.0,16,4,2,1925.87,19,1703,Premier League,train
Aaron Wan Bissaka_2023,Aaron Wan Bissaka,2023,Manchester Utd,18000000.0,25000000.0,24.0,44,15,1,1782.1,19,1435,Premier League,train
Aaron Wan Bissaka_2024,Aaron Wan Bissaka,2024,Manchester Utd,20000000.0,20000000.0,26.0,118,36,2,1873.67,20,1611,Premier League,val
Aaron Wan Bissaka_2025,Aaron Wan Bissaka,2025,West Ham,22000000.0,24000000.0,27.0,0,0,0,1726.24,34,2974,Premier League,test
Aaron Zehnter_2023,Aaron Zehnter,2023,Augsburg,300000.0,300000.0,17.0,0,0,0,1619.36,1,1,Bundesliga,train
Aaron Martin_2021,Aaron Martin,2021,Mainz 05,7000000.0,4500000.0,23.0,0,0,0,1636.86,46,3490,Bundesliga,train
Aaron Martin_2022,Aaron Martin,2022,Mainz 05,5000000.0,5000000.0,24.0,0,0,0,1661.16,24,1947,Bundesliga,train
Aaron Martin_2023,Aaron Martin,2023,Mainz 05,7000000.0,7000000.0,25.0,0,0,0,1680.2,26,1741,Bundesliga,train
Aaron Martin_2024,Aaron Martin,2024,Genoa,5000000.0,5000000.0,26.0,43,5,2,1597.38,22,1376,Serie A,val
Aaron Martin_2025,Aaron Martin,2025,Genoa,5000000.0,6500000.0,27.0,0,0,0,1696.19,36,3085,Serie A,test
Abakar Sylla_2024,Abakar Sylla,2024,Strasbourg,15000000.0,12000000.0,20.0,40,8,2,1602.44,22,1792,Ligue 1,val
Abakar Sylla_2025,Abakar Sylla,2025,Strasbourg,12000000.0,10000000.0,21.0,16,3,1,1611.99,21,950,Ligue 1,test
Abdallah Sima_2023,Abdallah Sima,2023,Angers,7000000.0,6000000.0,21.0,0,0,0,1542.99,34,1836,Ligue 1,train
Abdallah Sima_2025,Abdallah Sima,2025,Brest,8000000.0,9000000.0,23.0,29,6,3,1707.59,25,1092,Ligue 1,test
Abdallahi Mahmoud_2021,Abdallahi Mahmoud,2021,Alavés,100000.0,300000.0,20.0,0,0,0,1634.89,2,66,La Liga,train
Abde Ezzalzouli_2022,Abde Ezzalzouli,2022,Barcelona,1000000.0,8000000.0,19.0,25,2,3,1857.16,10,580,La Liga,train
Abde Ezzalzouli_2023,Abde Ezzalzouli,2023,Osasuna,8000000.0,15000000.0,20.0,23,4,1,1685.09,28,1504,La Liga,train
Abde Ezzalzouli_2024,Abde Ezzalzouli,2024,Barcelona,15000000.0,9000000.0,22.0,0,0,0,1862.14,56,1866,La Liga,val
Abde Ezzalzouli_2025,Abde Ezzalzouli,2025,Betis,12000000.0,12000000.0,22.0,111,9,2,1709.26,32,1984,La Liga,test
Abde Rebbach_2024,Abde Rebbach,2024,Alavés,800000.0,800000.0,25.0,4,1,1,1598.6,23,722,La Liga,val
Abde Rebbach_2025,Abde Rebbach,2025,Alavés,700000.0,700000.0,26.0,0,0,0,1645.67,8,385,La Liga,test
Abdel Abqar_2024,Abdel Abqar,2024,Alavés,3000000.0,7500000.0,24.0,10,1,1,1598.6,27,2312,La Liga,val
Abdel Abqar_2025,Abdel Abqar,2025,Alavés,7500000.0,7500000.0,25.0,53,7,1,1645.67,29,2463,La Liga,test
Abdeldjalil Medioub_2022,Abdeldjalil Medioub,2022,Bordeaux,600000.0,600000.0,24.0,0,0,0,1536.05,9,620,Ligue 1,train
Abdelhamid Sabiri_2022,Abdelhamid Sabiri,2022,Sampdoria,2000000.0,3000000.0,25.0,0,0,0,1571.08,14,893,Serie A,train
Abdelhamid Sabiri_2023,Abdelhamid Sabiri,2023,Sampdoria,3000000.0,2500000.0,25.0,46,8,4,1580.58,18,1069,Serie A,train
Abdellah Baallal_2024,Abdellah Baallal,2024,Clermont Foot,100000.0,50000.0,19.0,0,0,0,1577.91,1,4,Ligue 1,val
Abde Raihani_2024,Abde Raihani,2024,Atlético Madrid,300000.0,300000.0,19.0,0,0,0,1850.98,1,10,La Liga,val
Abdou Diallo_2021,Abdou Diallo,2021,Paris S-G,25000000.0,25000000.0,24.0,54,11,4,1926.95,21,1400,Ligue 1,train
Abdou Diallo_2022,Abdou Diallo,2022,Paris S-G,25000000.0,18000000.0,25.0,0,0,0,1875.88,12,877,Ligue 1,train
Abdou Diallo_2023,Abdou Diallo,2023,RB Leipzig,15000000.0,10000000.0,26.0,72,18,2,1800.84,8,478,Bundesliga,train
Abdou Harroui_2022,Abdou Harroui,2022,Sassuolo,3000000.0,3000000.0,23.0,55,9,2,1700.29,22,452,Serie A,train
Abdou Harroui_2023,Abdou Harroui,2023,Sassuolo,3000000.0,2700000.0,24.0,0,0,0,1654.8,23,647,Serie A,train
Abdou Harroui_2024,Abdou Harroui,2024,Frosinone,2700000.0,2700000.0,25.0,145,20,2,1592.14,18,1019,Serie A,val
Abdou Harroui_2025,Abdou Harroui,2025,Hellas Verona,2500000.0,1800000.0,26.0,211,28,2,1639.84,10,463,Serie A,test
Abdoul Kader Bamba_2021,Abdoul Kader Bamba,2021,Nantes,2000000.0,2000000.0,26.0,0,0,0,1577.6,26,857,Ligue 1,train
Abdoul Kader Bamba_2023,Abdoul Kader Bamba,2023,Nantes,1000000.0,900000.0,28.0,46,6,2,1626.7,5,78,Ligue 1,train
Abdoul Kader Bamba_2024,Abdoul Kader Bamba,2024,Nantes,900000.0,900000.0,29.0,0,0,0,1529.08,23,611,Ligue 1,val
Abdoul Kone_2025,Abdoul Kone,2025,Reims,500000.0,400000.0,19.0,92,14,2,1636.88,4,133,Ligue 1,test
Abdoul Ouattara_2025,Abdoul Ouattara,2025,Strasbourg,150000.0,1200000.0,19.0,49,6,2,1645.21,15,458,Ligue 1,test
Abdoulay Diaby_2021,Abdoulay Diaby,2021,Getafe,4000000.0,2000000.0,29.0,20,4,1,1744.2,1,18,La Liga,train
Abdoulaye Bamba_2021,Abdoulaye Bamba,2021,Angers,2000000.0,1200000.0,30.0,0,0,0,1577.06,15,1291,Ligue 1,train
Abdoulaye Bamba_2022,Abdoulaye Bamba,2022,Angers,600000.0,500000.0,31.0,0,0,0,1531.44,10,458,Ligue 1,train
Abdoulaye Bamba_2023,Abdoulaye Bamba,2023,Angers,400000.0,400000.0,32.0,0,0,0,1542.99,21,1364,Ligue 1,train
Abdoulaye Bamba_2025,Abdoulaye Bamba,2025,Angers,350000.0,300000.0,34.0,0,0,0,1477.82,18,1420,Ligue 1,test
Abdoulaye Doucoure_2021,Abdoulaye Doucoure,2021,Everton,25000000.0,25000000.0,27.0,65,11,1,1715.94,27,2263,Premier League,train
Abdoulaye Doucoure_2022,Abdoulaye Doucoure,2022,Everton,25000000.0,22000000.0,28.0,43,11,1,1771.19,29,2447,Premier League,train
Abdoulaye Doucoure_2023,Abdoulaye Doucoure,2023,Everton,18000000.0,12000000.0,29.0,52,9,1,1698.98,24,1443,Premier League,train
Abdoulaye Doucoure_2024,Abdoulaye Doucoure,2024,Everton,12000000.0,10000000.0,30.0,27,5,1,1708.25,28,2367,Premier League,val
Abdoulaye Doucoure_2025,Abdoulaye Doucoure,2025,Everton,8000000.0,7000000.0,31.0,0,0,0,1706.85,31,2459,Premier League,test
Abdoulaye Keita_2025,Abdoulaye Keita,2025,Getafe,150000.0,200000.0,22.0,0,0,0,1626.44,3,95,La Liga,test
Abdoulaye Ndiaye_2025,Abdoulaye Ndiaye,2025,Brest,3000000.0,4000000.0,22.0,0,0,0,1680.87,21,1617,Ligue 1,test
Abdoulaye Sylla_2021,Abdoulaye Sylla,2021,Nantes,200000.0,200000.0,20.0,0,0,0,1526.69,1,7,Ligue 1,train
Abdoulaye Sylla_2022,Abdoulaye Sylla,2022,Nantes,200000.0,250000.0,21.0,0,0,0,1621.98,2,157,Ligue 1,train
Abdoulaye Toure_2021,Abdoulaye Toure,2021,Nantes,8000000.0,4000000.0,26.0,37,3,1,1594.84,26,1673,Ligue 1,train
Abdoulaye Toure_2022,Abdoulaye Toure,2022,Genoa,3500000.0,2500000.0,27.0,9,1,1,1599.16,8,430,Serie A,train
Abdoulaye Toure_2024,Abdoulaye Toure,2024,Le Havre,1200000.0,3000000.0,29.0,0,0,0,1477.06,30,2284,Ligue 1,val
Abdoulaye Toure_2025,Abdoulaye Toure,2025,Le Havre,3000000.0,3000000.0,30.0,36,5,1,1545.37,26,2144,Ligue 1,test
Abdourahmane Barry_2022,Abdourahmane Barry,2022,Greuther Fürth,500000.0,300000.0,21.0,6,3,1,1539.86,8,210,Bundesliga,train
Abdu Conte_2022,Abdu Conte,2022,Troyes,1500000.0,3000000.0,23.0,0,0,0,1531.32,16,1285,Ligue 1,train
Abdu Conte_2023,Abdu Conte,2023,Troyes,2500000.0,2000000.0,24.0,206,26,3,1549.86,19,1315,Ligue 1,train
Abdukodir Khusanov_2024,Abdukodir Khusanov,2024,Lens,400000.0,2500000.0,19.0,0,0,0,1722.96,11,809,Ligue 1,val
Abdukodir Khusanov_2025,Abdukodir Khusanov,2025,Lens,5000000.0,35000000.0,20.0,0,0,0,1722.39,34,2596,Ligue 1,test
Majeed Waris_2021,Majeed Waris,2021,Strasbourg,2500000.0,2000000.0,29.0,0,0,0,1585.97,12,453,Ligue 1,train
Majeed Waris_2022,Majeed Waris,2022,Strasbourg,1500000.0,1200000.0,30.0,0,0,0,1561.49,14,322,Ligue 1,train
Abdul Mumin_2023,Abdul Mumin,2023,Rayo Vallecano,1500000.0,1500000.0,24.0,0,0,0,1626.89,16,922,La Liga,train
Abdul Mumin_2024,Abdul Mumin,2024,Rayo Vallecano,2000000.0,2500000.0,25.0,0,0,0,1637.25,20,1694,La Liga,val
Abdul Mumin_2025,Abdul Mumin,2025,Rayo Vallecano,4000000.0,5000000.0,26.0,215,22,1,1612.18,24,2017,La Liga,test
Abdon Prats_2022,Abdon Prats,2022,Mallorca,1500000.0,1500000.0,28.0,0,0,0,1631.24,24,641,La Liga,train
Abdon Prats_2023,Abdon Prats,2023,Mallorca,1200000.0,1200000.0,29.0,0,0,0,1615.09,26,416,La Liga,train
Abdon Prats_2024,Abdon Prats,2024,Mallorca,2000000.0,1800000.0,30.0,0,0,0,1649.64,34,1270,La Liga,val
Abdon Prats_2025,Abdon Prats,2025,Mallorca,1500000.0,1200000.0,32.0,0,0,0,1642.41,24,456,La Liga,test
Abel Bretones_2025,Abel Bretones,2025,Osasuna,3000000.0,4000000.0,24.0,0,0,0,1651.6,35,2074,La Liga,test
Abel Ruiz_2025,Abel Ruiz,2025,Girona,7500000.0,4000000.0,24.0,38,7,1,1793.73,23,1346,La Liga,test
Ablie Jallow_2024,Ablie Jallow,2024,Metz,2000000.0,2000000.0,25.0,97,10,2,1543.92,17,918,Ligue 1,val
Abner_2023,Abner,2023,Betis,8000000.0,7000000.0,22.0,0,0,0,1766.61,13,607,La Liga,train
Abner_2024,Abner,2024,Betis,7000000.0,7000000.0,23.0,22,6,1,1739.29,23,1400,La Liga,val
Abner_2025,Abner,2025,Lyon,9000000.0,7000000.0,24.0,0,0,0,1716.43,18,1000,Ligue 1,test
Aboubacar Ali_2024,Aboubacar Ali,2024,Strasbourg,150000.0,150000.0,18.0,0,0,0,1595.34,9,130,Ligue 1,val
Aboubacar Bassinga_2025,Aboubacar Bassinga,2025,Las Palmas,100000.0,100000.0,19.0,0,0,0,1588.57,1,4,La Liga,test
Aboubakar Kamara_2021,Aboubakar Kamara,2021,Fulham,2000000.0,2000000.0,25.0,11,3,1,1591.55,38,1442,Premier League,train
Aboubakar Sidibe_2022,Aboubakar Sidibe,2022,Clermont Foot,100000.0,150000.0,25.0,0,0,0,1526.71,1,6,Ligue 1,train
Achraf Dari_2023,Achraf Dari,2023,Brest,1800000.0,2000000.0,23.0,0,0,0,1566.12,18,1317,Ligue 1,train
Achraf Dari_2024,Achraf Dari,2024,Brest,1500000.0,2000000.0,24.0,34,5,3,1582.45,4,121,Ligue 1,val
Achraf Hakimi_2021,Achraf Hakimi,2021,Inter,50000000.0,60000000.0,21.0,7,3,2,1841.54,37,2665,Serie A,train
Achraf Hakimi_2022,Achraf Hakimi,2022,Paris S-G,70000000.0,65000000.0,22.0,28,2,2,1875.88,31,2389,Ligue 1,train
Achraf Hakimi_2023,Achraf Hakimi,2023,Paris S-G,65000000.0,65000000.0,23.0,20,3,1,1859.43,28,2053,Ligue 1,train
Achraf Hakimi_2024,Achraf Hakimi,2024,Paris S-G,65000000.0,60000000.0,25.0,0,0,0,1810.81,25,1932,Ligue 1,val
Achraf Hakimi_2025,Achraf Hakimi,2025,Paris S-G,60000000.0,80000000.0,26.0,0,0,0,1880.66,24,1976,Ligue 1,test
Adam Armstrong_2022,Adam Armstrong,2022,Southampton,18000000.0,15000000.0,24.0,0,0,0,1700.75,21,1305,Premier League,train
Adam Armstrong_2023,Adam Armstrong,2023,Southampton,15000000.0,10000000.0,25.0,0,0,0,1671.66,28,1287,Premier League,train
Adam Armstrong_2025,Adam Armstrong,2025,Southampton,16000000.0,12000000.0,27.0,0,0,0,1599.6,18,1099,Premier League,test
Adam Aznou_2025,Adam Aznou,2025,Bayern Munich,1500000.0,4000000.0,18.0,0,0,0,1908.25,30,1786,Bundesliga,test
Adam Buksa_2023,Adam Buksa,2023,Lens,7000000.0,5000000.0,26.0,248,37,2,1699.07,8,101,Ligue 1,train
Adam Forshaw_2022,Adam Forshaw,2022,Leeds United,2000000.0,2000000.0,30.0,70,6,1,1757.71,22,1530,Premier League,train
Adam Forshaw_2023,Adam Forshaw,2023,Leeds United,1800000.0,1200000.0,31.0,0,0,0,1703.28,10,389,Premier League,train
Adam Idah_2022,Adam Idah,2022,Norwich City,3000000.0,3000000.0,20.0,196,35,1,1655.2,16,601,Premier League,train
Adam Lallana_2021,Adam Lallana,2021,Brighton,8000000.0,4000000.0,32.0,52,7,4,1653.63,28,1493,Premier League,train
Adam Lallana_2022,Adam Lallana,2022,Brighton,2500000.0,2000000.0,33.0,44,6,3,1720.88,23,1471,Premier League,train
Adam Lallana_2023,Adam Lallana,2023,Brighton,1500000.0,1200000.0,34.0,117,15,2,1760.1,15,658,Premier League,train
Adam Lallana_2024,Adam Lallana,2024,Brighton,1000000.0,1000000.0,35.0,0,0,0,1832.39,24,840,Premier League,val
Adam Lallana_2025,Adam Lallana,2025,Southampton,900000.0,750000.0,36.0,27,4,1,1599.6,13,359,Premier League,test
Adam Masina_2022,Adam Masina,2022,Watford,4000000.0,3000000.0,27.0,0,0,0,1673.34,15,1077,Premier League,train
Adam Masina_2023,Adam Masina,2023,Udinese,2500000.0,2500000.0,28.0,187,33,2,1632.25,14,789,Serie A,train
Adam Masina_2024,Adam Masina,2024,Udinese,1500000.0,1500000.0,29.0,70,12,1,1629.52,40,2176,Serie A,val
Adam Masina_2025,Adam Masina,2025,Torino,1500000.0,1500000.0,30.0,2,1,1,1738.89,28,1919,Serie A,test
Adam Obert_2022,Adam Obert,2022,Cagliari,900000.0,900000.0,19.0,16,3,1,1554.98,6,274,Serie A,train
Adam Obert_2024,Adam Obert,2024,Cagliari,1800000.0,3500000.0,21.0,0,0,0,1572.95,17,941,Serie A,val
Adam Obert_2025,Adam Obert,2025,Cagliari,3000000.0,3000000.0,22.0,31,5,3,1611.59,21,1077,Serie A,test
Adam Ounas_2021,Adam Ounas,2021,Cagliari,8000000.0,8000000.0,23.0,0,0,0,1573.17,44,3014,Serie A,train
Adam Ounas_2022,Adam Ounas,2022,Napoli,8000000.0,7000000.0,25.0,139,29,11,1803.56,15,326,Serie A,train
Adam Ounas_2023,Adam Ounas,2023,Napoli,8000000.0,7000000.0,25.0,90,21,4,1800.58,46,2158,Serie A,train
Adam Ounas_2024,Adam Ounas,2024,Lille,5000000.0,4000000.0,27.0,0,0,0,1698.31,17,418,Ligue 1,val
Adam Smith_2023,Adam Smith,2023,Bournemouth,1500000.0,1200000.0,31.0,0,0,0,1630.37,35,2775,Premier League,train
Adam Smith_2024,Adam Smith,2024,Bournemouth,1000000.0,1000000.0,32.0,0,0,0,1659.03,24,1877,Premier League,val
Adam Smith_2025,Adam Smith,2025,Bournemouth,1000000.0,750000.0,33.0,97,15,2,1691.12,24,1585,Premier League,test
Adam Webster_2021,Adam Webster,2021,Brighton,15000000.0,18000000.0,25.0,17,3,1,1653.63,28,2504,Premier League,train
Adam Webster_2022,Adam Webster,2022,Brighton,18000000.0,17000000.0,26.0,113,15,3,1720.88,21,1418,Premier League,train
Adam Webster_2023,Adam Webster,2023,Brighton,22000000.0,25000000.0,27.0,30,7,2,1760.1,26,1895,Premier League,train
Adam Webster_2024,Adam Webster,2024,Brighton,20000000.0,20000000.0,28.0,39,9,1,1832.39,14,1054,Premier League,val
Adam Webster_2025,Adam Webster,2025,Brighton,15000000.0,11000000.0,29.0,114,18,2,1713.16,14,887,Premier League,test
Adam Wharton_2024,Adam Wharton,2024,Crystal Palace,10000000.0,30000000.0,19.0,0,0,0,1720.75,14,1135,Premier League,val
Adam Wharton_2025,Adam Wharton,2025,Crystal Palace,32000000.0,45000000.0,20.0,100,18,2,1759.71,19,1284,Premier League,test
Adama Boiro_2025,Adama Boiro,2025,Athletic Club,1500000.0,2500000.0,22.0,0,0,0,1764.15,18,1101,La Liga,test
Adama Bojang_2024,Adama Bojang,2024,Reims,500000.0,500000.0,19.0,0,0,0,1640.95,9,83,Ligue 1,val
Adel Mahamoud_2024,Adel Mahamoud,2024,Nantes,150000.0,100000.0,21.0,0,0,0,1544.64,1,10,Ligue 1,val
Ademola Lookman_2021,Ademola Lookman,2021,Fulham,10000000.0,11000000.0,22.0,14,2,1,1566.02,32,2595,Premier League,train
Ademola Lookman_2022,Ademola Lookman,2022,Leicester City,9000000.0,10000000.0,24.0,0,0,0,1800.7,25,1388,Premier League,train
Ademola Lookman_2023,Ademola Lookman,2023,Atalanta,20000000.0,30000000.0,25.0,36,7,1,1729.88,31,1729,Serie A,train
Ademola Lookman_2024,Ademola Lookman,2024,Atalanta,30000000.0,40000000.0,26.0,15,3,1,1759.28,31,1894,Serie A,val
Ademola Lookman_2025,Ademola Lookman,2025,Atalanta,55000000.0,60000000.0,27.0,21,6,1,1866.29,31,2247,Serie A,test
Adil Aouchiche_2023,Adil Aouchiche,2023,Lorient,4000000.0,2200000.0,20.0,51,7,2,1539.8,11,250,Ligue 1,train
Adil Rami_2022,Adil Rami,2022,Troyes,250000.0,400000.0,35.0,46,6,1,1512.02,15,1078,Ligue 1,train
Adil Rami_2023,Adil Rami,2023,Troyes,300000.0,250000.0,36.0,0,0,0,1547.06,20,1596,Ligue 1,train
Admir Mehmedi_2021,Admir Mehmedi,2021,Wolfsburg,6000000.0,4000000.0,29.0,42,9,2,1713.19,17,754,Bundesliga,train
Admir Mehmedi_2022,Admir Mehmedi,2022,Wolfsburg,2500000.0,1000000.0,30.0,153,19,4,1769.32,1,4,Bundesliga,train
Adnan Januzaj_2021,Adnan Januzaj,2021,Real Sociedad,10000000.0,12000000.0,25.0,0,0,0,1742.09,27,1014,La Liga,train
Adnan Januzaj_2022,Adnan Januzaj,2022,Real Sociedad,12000000.0,12000000.0,26.0,24,6,1,1761.45,33,1625,La Liga,train
Adnan Januzaj_2023,Adnan Januzaj,2023,Sevilla,9000000.0,6000000.0,27.0,0,0,0,1748.01,2,47,La Liga,train
Adnan Januzaj_2024,Adnan Januzaj,2024,Sevilla,4000000.0,2000000.0,28.0,0,0,0,1729.87,8,193,La Liga,val
Adnan Januzaj_2025,Adnan Januzaj,2025,Las Palmas,1500000.0,1200000.0,29.0,117,13,4,1583.02,18,598,La Liga,test
Ado Onaiwu_2023,Ado Onaiwu,2023,Toulouse,1500000.0,1500000.0,26.0,0,0,0,1560.32,34,1082,Ligue 1,train
Ado Onaiwu_2025,Ado Onaiwu,2025,Auxerre,1800000.0,1500000.0,29.0,0,0,0,1561.9,29,890,Ligue 1,test
Adolfo Gaich_2021,Adolfo Gaich,2021,Benevento,9000000.0,8000000.0,21.0,0,0,0,1562.79,15,768,Serie A,train
Adolfo Gaich_2023,Adolfo Gaich,2023,Hellas Verona,2500000.0,1800000.0,23.0,8,2,2,1571.25,17,741,Serie A,train
Adrian Embarba_2022,Adrian Embarba,2022,Espanyol,6000000.0,4000000.0,29.0,0,0,0,1648.6,32,1986,La Liga,train
Adrian Embarba_2023,Adrian Embarba,2023,Espanyol,3000000.0,2500000.0,30.0,0,0,0,1647.61,60,3014,La Liga,train
Adrian Embarba_2024,Adrian Embarba,2024,Almería,2500000.0,1800000.0,31.0,0,0,0,1619.36,36,2476,La Liga,val
Adrian Embarba_2025,Adrian Embarba,2025,Rayo Vallecano,1500000.0,1200000.0,32.0,0,0,0,1612.18,35,1607,La Liga,test
Adrian Beck_2024,Adrian Beck,2024,Heidenheim,900000.0,1500000.0,26.0,49,6,2,1568.46,22,929,Bundesliga,val
Adrian Beck_2025,Adrian Beck,2025,Heidenheim,2000000.0,2000000.0,27.0,0,0,0,1662.52,30,1491,Bundesliga,test
Adrian Benedyczak_2025,Adrian Benedyczak,2025,Parma,6000000.0,4500000.0,24.0,301,29,3,1584.33,9,214,Serie A,test
Adrian Bernabe_2025,Adrian Bernabe,2025,Parma,15000000.0,15000000.0,23.0,123,17,3,1571.97,21,1453,Serie A,test
Adrian Fein_2022,Adrian Fein,2022,Greuther Fürth,2500000.0,700000.0,22.0,76,10,3,1555.51,3,32,Bundesliga,train
Adrien Hunou_2021,Adrien Hunou,2021,Rennes,5500000.0,6000000.0,26.0,0,0,0,1654.59,17,537,Ligue 1,train
Adrien Hunou_2023,Adrien Hunou,2023,Angers,3500000.0,2500000.0,28.0,0,0,0,1544.96,34,2234,Ligue 1,train
Adrien Lebeau_2024,Adrien Lebeau,2024,Brest,300000.0,300000.0,24.0,0,0,0,1582.45,7,54,Ligue 1,val
Adrien Rabiot_2021,Adrien Rabiot,2021,Juventus,28000000.0,30000000.0,25.0,0,0,0,1837.94,34,2313,Serie A,train
Adrien Rabiot_2022,Adrien Rabiot,2022,Juventus,22000000.0,17000000.0,26.0,49,7,4,1849.13,32,2285,Serie A,train
Adrien Rabiot_2023,Adrien Rabiot,2023,Juventus,18000000.0,40000000.0,27.0,30,8,4,1783.07,32,2748,Serie A,train
Adrien Rabiot_2024,Adrien Rabiot,2024,Juventus,40000000.0,35000000.0,28.0,74,8,6,1796.9,31,2651,Serie A,val
Adrien Rabiot_2025,Adrien Rabiot,2025,Marseille,30000000.0,25000000.0,29.0,2,0,1,1754.53,27,2305,Ligue 1,test
Adrien Silva_2021,Adrien Silva,2021,Sampdoria,6000000.0,3000000.0,31.0,11,2,1,1585.14,24,1599,Serie A,train
Adrien Silva_2022,Adrien Silva,2022,Sampdoria,2500000.0,2000000.0,32.0,0,0,0,1643.21,17,1083,Serie A,train
Adrien Tameze_2021,Adrien Tameze,2021,Hellas Verona,4500000.0,6000000.0,26.0,9,1,1,1548.41,33,2304,Serie A,train
Adrien Tameze_2022,Adrien Tameze,2022,Hellas Verona,7000000.0,10000000.0,27.0,6,2,1,1585.23,38,2574,Serie A,train
Adrien Tameze_2023,Adrien Tameze,2023,Hellas Verona,8000000.0,6000000.0,28.0,0,0,0,1635.19,38,3121,Serie A,train
Adrien Tameze_2024,Adrien Tameze,2024,Torino,6000000.0,5000000.0,29.0,24,4,1,1682.35,29,2146,Serie A,val
Adrien Tameze_2025,Adrien Tameze,2025,Torino,3500000.0,2000000.0,30.0,71,5,2,1738.89,20,649,Serie A,test
Adrien Thomasson_2021,Adrien Thomasson,2021,Strasbourg,6500000.0,6000000.0,26.0,0,0,0,1585.97,33,2393,Ligue 1,train
Adrien Thomasson_2022,Adrien Thomasson,2022,Strasbourg,8000000.0,9000000.0,28.0,46,5,1,1561.49,30,2299,Ligue 1,train
Adrien Thomasson_2023,Adrien Thomasson,2023,Strasbourg,6000000.0,6000000.0,28.0,21,2,1,1668.04,70,4430,Ligue 1,train
Adrien Thomasson_2024,Adrien Thomasson,2024,Lens,6000000.0,5000000.0,30.0,0,0,0,1761.61,29,1193,Ligue 1,val
Adrien Thomasson_2025,Adrien Thomasson,2025,Lens,5000000.0,5000000.0,31.0,0,0,0,1722.39,31,2435,Ligue 1,test
Adrien Truffert_2021,Adrien Truffert,2021,Rennes,200000.0,12000000.0,18.0,15,4,1,1680.67,27,1815,Ligue 1,train
Adrien Truffert_2022,Adrien Truffert,2022,Rennes,11000000.0,12000000.0,20.0,0,0,0,1624.59,28,1494,Ligue 1,train
Adrien Truffert_2023,Adrien Truffert,2023,Rennes,15000000.0,18000000.0,20.0,88,10,1,1719.7,28,1954,Ligue 1,train
Adrien Truffert_2024,Adrien Truffert,2024,Rennes,18000000.0,18000000.0,22.0,0,0,0,1710.56,30,2145,Ligue 1,val
